Unidade/Ambulatório,Código
SETOR MATERNO INFANTIL MEAC,1.0
UNIDADE DE OBSTETRICIA MEAC,2.0
UNIDADE DE CUIDADO NEONATAL MEAC,3.0
MEAC - EMERGENCIA,4.0
UNIDADE DE TERAPIA INTENSIVA ADULTO 2 MEAC UTI Materna,5.0
UNIDADE DE AMBULATORIO 2 MEAC,6.0
AMB PRONTO ATENDIMENTO,7.0
UNIDADE DE CLINICA CIRURGICA HUWC,9.0
CLINICA CIRURGICA,9.0
CIRURGIA TORACICA,9.0
CIRURGIA GERAL,9.0
AMB ENDOCRINOLOGIA,12.0
AMBULATORIO DE ADOLESCENTES MEAC,25.0
AMBULATORIO DE GINECOLOGIA 1 MEAC,26.0
AMBULATORIO DE GINECOLOGIA 2 MEAC,27.0
AMBULATORIO DE MASTOLOGIA MEAC,28.0
AMBULATORIO MATERNO FETAL MEAC,29.0
BANCO DE LEITE HUMANO MEAC,30.0
CASA DA GESTANTE BEBE E PUERPERA (CGBP) MEAC,31.0
CENTRAL DE ESTERELIZACAO MEAC,32.0
MEAC- CT CIRUR,33.0
HISTEROSCOPIA / URODINAMICA MEAC,34.0
MAMOGRAFIA MEAC,35.0
NEONATOLOGIA DO CENTRO OBSTETRICO MEAC,36.0
MEAC- POSTO I,37.0
MEAC- ALOJ I,38.0
MEAC- ALOJ II,39.0
MEAC- POSTO II,40.0
POSTO III - CENTRO OBSTETRICO MEAC,41.0
MEAC - PJ CANGURU,42.0
UNIDADE DE REABILITAÇAO MEAC,43.0
MEAC - SALA RECUPERACAO,44.0
MEAC -UND I,45.0
MEAC -UND II,46.0
UTI NEONATAL ALTO RISCOA A+B MEAC,47.0
CLI MEDICA I,48.0
CLI MEDICA II A,49.0
CLI IIA - HUWC,49.0
CLI MEDICA  II A,49.0
CLI MEDICA  II B,50.0
CLI MEDICA II B,50.0
CLI IIB - HUWC,50.0
CIR III,51.0
CLI MEDICA III,51.0
CLI MEDICA PEDIATRICA,52.0
CIR IV,52.0
CIR. PED.,52.0
CIR I - HUWC,53.0
CLI CIRURG I,53.0
CLI CIRURGICA II,54.0
AMB NEFROLOGIA,56.0
AMB NEFR - HUWC,56.0
AMB NEF - HUWC,56.0
AMB URO - HUWC,57.0
AMB UROLOGIA,57.0
AMB POS-TRANSP RENAL,58.0
AMB PRE-TRANSPLANTE RENAL,58.0
AMB HEMODIALISE,59.0
AMB HEMATOLOGIA,61.0
AMB HEMAT - HUWC,61.0
AMB PEDIATRIA,63.0
AMB CARDIOLOGIA,65.0
AMB DERMATOLOGIA,67.0
AMB DERM - HUWC,67.0
AMBULATORIO DE CUIDADOS PALIATIVOS HUWC,69.0
AMB NEUROLOGIA,71.0
AMB NEUR - HUWC,71.0
AMB REUMATOLOGIA,72.0
AMB REU - HUWC,72.0
AMB INFECTO,74.0
AMB INFEC - HUWC,74.0
AMB CLINICA MEDICA,75.0
AMB GERIATRIA,76.0
AMB PNEUMOLOGIA,77.0
AMB PNEU - HUWC,77.0
AMB GERAL,80.0
AMB.GERAL,80.0
AMB FONOAUDIOLOGIA,80.0
AMB ESTUDANTES,80.0
AMB CIRURGIA,80.0
AMB CIR VASCULAR,80.0
AMB CIR - HUWC,81.0
AMB DO SERVIDOR,85.0
AMB SERV - HUWC,85.0
AMB OFT - HUWC,86.0
AMB OFTALMOLOGIA,86.0
AMB OTORR - HUWC,87.0
AMB OTORRINOLARINGOLOGIA,87.0
AMB GAST - HUWC,90.0
AMB GASTROENTEROLOGIA,90.0
AMB PROCTOLOGIA,91.0
AMB POS-TRANS FIGADO,92.0
AMB PRE-TRANS FIGADO,92.0
UTI,94.0
U.T.I.,94.0
U.T.I,94.0
SALA DE RECUPERACAO,95.0
CENTRO CIRURGICO,96.0
UTI II - COVID,97.0
UTI COVID - HUWC,97.0
UTI - COVID,97.0
OUTROS,98.0
UNIDADE DE CABEÇA E PESCOÇO HUWC,102.0
MEAC - SL PARTO,103.0
POSTO DE ENFERMAGEM 1º ANDAR MEAC,104.0
POSTO DE ENFERMAGEM 2º ANDAR MEAC,105.0
CLI CIR TRANSP RENAL,106.0
MEDULA OSSEA - TMO - HUWC,107.0
MEDULA OSSEA - TMO,107.0
MEDULA OSSEA TMO - HUWC,107.0
MEAC -UND IIIA,108.0
MEAC- UND IIIB,109.0
PRE OPERATORIO MEAC,110.0
CIR IV,111.0
MEAC - ALOJ 3 AND,112.0
